samples,r.squared,distinct,points,removed,final,remaining
Stegen_ICR_10_pp1_Nov20_1_01_24948,0.396127513904636,3,3,0,3,1
Stegen_ICR_10_pp2_Nov20_1_01_24965,0.936472355158825,8,8,2,6,0.75
Stegen_ICR_10_pp3_Nov20_1_01_24950,0.717877620713462,5,5,1,4,0.8
Stegen_ICR_6_pp1_Nov20_1_01_24954,0.89837940367297,9,9,4,5,0.555555555555556
Stegen_ICR_6_pp3_Nov20_1_01_24963,0.837902981760454,4,4,0,4,1
Stegen_ICR_8_pp3_Nov20_1_01_24947,0.74555117180027,6,6,0,6,1
Stegen_River_at_ICR10_Nov20_1_01_24964,0.404438253570744,3,3,0,3,1
