,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
610.8663858,6947935.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275346.8,0,0
610.8674377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2867847.5,0
611.0787883,0,0,1489890.8,0,0,0,0,0,0,0,0,0,0,0,0,1383016.4,0,0,0,0,0,0
611.0791781,0,0,0,1427524.9,1883734.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.0799099,0,2224033.5,0,0,0,2414500.5,1542527.8,0,0,0,1485426,0,0,0,0,0,0,0,0,0,0,0
611.0921328,0,2439843.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.0926198,0,0,0,4983367,0,3874727.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.0932263,0,0,3934694.8,0,3127896.8,0,3303810.5,0,0,0,1443572.1,0,1938206.5,1480148,0,0,0,0,0,0,0,0
611.2167368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414040.6,0,0,0,0,0,0,0
611.2308028,0,2384309.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.2313021,0,0,1549323.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.2317533,0,0,0,2129503,0,1820100.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.2332091,0,0,0,0,0,0,1502110.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.410911,0,0,2510396,2374270,0,0,0,0,0,0,0,0,0,0,1889719.1,0,0,0,0,0,0,0
611.4116611,0,3807693,0,0,3401351.5,3761131.5,2978242.8,1699869.8,0,0,1896867.5,1466349.9,0,1424387.1,0,0,0,1456590.6,0,0,0,1890047.5
611.4252125,0,0,0,3669632.5,0,3894254.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554175.6
611.4256705,0,3621326.8,4107840,0,2436233.8,0,0,0,0,0,0,1619953.1,0,0,0,0,0,0,0,0,0,0
611.4261421,0,0,0,0,0,0,2666949.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.7295366,0,4042230.8,0,0,3017399.3,0,0,0,0,0,0,0,0,0,1600745.3,0,0,0,0,0,0,0
611.7303013,0,0,0,4538038.5,0,0,0,0,0,0,0,0,2075511.1,1535794.6,0,0,0,2110434.5,0,0,0,1770243.5
611.7306413,0,0,4292242,0,0,4906032.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.7312098,0,0,0,0,0,0,3791363.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.7361686,0,0,0,0,0,0,0,0,0,0,0,1407544,0,0,0,0,0,0,0,0,0,0
611.7444722,0,0,0,1629369,0,1841203.4,2183174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.7459964,0,0,0,0,0,0,0,0,0,0,1668821.5,0,0,0,0,0,0,0,0,0,0,0
611.7963344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408412.5,0,0,0
611.8426335,1732172.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.8433328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752186.6,0,0
611.8632563,1901905.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.0773209,0,0,0,0,1545963.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.0782673,0,0,0,1558261.3,0,0,0,0,0,0,0,0,1665193.9,0,0,0,0,0,0,0,0,0
612.078628,0,1521189.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.6923898,0,0,0,1548135.6,2108234.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.6933596,0,2361976,1712024.3,0,0,0,0,0,0,0,0,2071063.5,1963527.8,2635206.3,2455938.5,0,0,0,0,0,0,3385106.8
612.6937865,0,0,0,0,0,1429253.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.6942449,0,0,0,0,0,0,0,0,0,0,1447268.5,0,0,0,0,0,2834848,1887266.5,0,0,0,0
612.7358688,0,0,0,0,0,0,0,1410745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.7552493,0,0,0,0,0,0,0,1522875.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.7562306,0,0,0,0,0,0,0,0,0,0,0,1415718.5,0,0,0,0,0,0,0,0,0,0
612.7667754,0,1902722,0,0,0,0,0,0,0,0,0,0,1474579.3,0,0,0,0,0,0,0,0,0
612.7851225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563862.9,0,0,0
612.8319909,3693124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.895768,0,1768595.6,0,0,0,0,0,0,5485500.5,0,0,0,0,0,0,10292173,0,0,0,1831079.8,2765755.3,0
613.0499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088423.1,0,0,0
613.0504057,5361275.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613.4972523,1552110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613.5525108,1681661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613.7689332,0,0,0,0,0,0,0,0,0,0,0,0,0,1472625.3,0,0,0,0,0,0,0,0
613.8962081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974790.6,0,0,0,0,0,0
614.0667643,0,0,0,0,0,0,0,0,0,0,1636918.5,0,0,0,0,0,0,0,0,0,0,0
614.7049906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480633.1,0,0,0,0
614.7058494,0,0,0,0,0,0,0,0,0,1656621,0,0,0,0,0,0,0,0,0,0,0,0
614.7153055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577329.3,0,0,0,0,0
614.7169395,0,0,0,0,0,0,0,1440171.6,0,1664301.6,0,0,0,0,1791691.6,0,0,0,0,0,0,0
614.7186083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842874.1,0,0,0,0
614.7311968,0,0,0,0,0,0,0,0,0,0,1697949.4,0,0,0,0,0,0,0,0,0,0,0
614.7321153,0,0,0,0,1480596.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614.7430464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936696.9,0,0,0,0,0,0
614.7438058,3195959,3882901,4140497.3,4475140,4357270,7232230.5,0,0,5587225.5,0,0,2924813,3817317,2851601.8,0,0,0,0,0,0,0,3793730.5
614.7443119,0,0,0,0,0,0,6154350,5680559,0,0,6862495.5,0,0,0,3946192.3,0,3990132.5,3556540.3,3689046.5,0,0,0
614.744701,0,0,0,0,0,0,0,0,0,6906671,0,0,0,0,0,0,0,0,0,0,0,0
614.746531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617916.4,0,0
614.7666858,0,0,0,3596553,0,3438316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614.7676165,0,3242904.5,2790359.8,0,1866650.3,0,1579634.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614.8934608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235970,0,0,0,0,0,0
615.0994007,0,0,0,1623376.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.2433945,0,0,0,0,0,1827680.6,0,0,1590396,0,0,0,0,0,0,0,0,0,0,0,0,0
615.2437762,0,0,0,0,0,0,0,0,0,0,1661165.3,0,0,0,0,0,0,0,0,0,0,0
615.2445341,0,0,0,0,0,0,1546965.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.3832516,0,0,0,0,0,0,0,0,0,0,1418499,0,0,0,0,0,0,0,0,0,0,0
615.4318034,0,0,0,2049944.5,0,1499023.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.432387,0,0,1755795.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.7015138,0,11614238,9813728,9235924,7501113,4390866.5,0,0,0,0,0,4849153,6434842.5,8204212.5,4129647,2173043,2445025.5,1952268.3,0,0,0,9633632
615.7022758,0,0,0,0,0,0,3634997.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.7108666,0,0,0,0,0,1426388.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.7115413,0,0,0,0,0,0,0,0,2059226,2185569,3319606.5,0,0,0,0,0,0,0,0,0,0,0
615.712473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013965.1,0,0,0,0
615.7203741,0,0,0,0,0,0,0,0,0,0,0,2626565.8,0,0,2322290.3,1900404.3,0,2231053.8,0,0,0,1865568.9
615.7209243,1797439,0,0,0,0,1657559.3,2044985.1,2500139.3,3074524,0,0,0,0,0,0,0,2311395.8,0,0,0,0,0
615.7214628,0,0,0,0,0,0,0,0,0,2639457.5,2929976,0,0,0,0,0,0,0,0,0,0,0
615.7409067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411741.3,0,0,0
615.7414543,0,0,1585899,1909213,0,0,0,0,0,0,0,0,1449506.6,0,0,0,0,0,0,0,0,0
615.7418177,0,0,0,0,0,2725852.5,0,2284333.8,0,0,0,0,0,0,0,0,0,2140175.8,0,0,0,0
615.7422017,0,0,0,0,0,0,0,0,0,0,2326843.3,0,0,0,0,0,0,0,0,0,0,0
615.7426875,0,0,0,0,0,0,2324285.8,0,2292192.3,0,0,0,0,0,0,0,0,0,0,0,0,0
615.7437502,0,0,0,0,0,0,0,0,0,2253666.8,0,0,0,0,0,0,0,0,0,0,0,0
615.7460266,0,1517860.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.9274308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413291,0,0,0
616.0715472,0,0,1697608.8,1661479,0,0,0,0,0,2050420.8,0,0,0,0,0,0,0,0,0,0,0,0
616.0722125,0,2290260.5,0,0,2579321,3581999.5,0,0,0,0,2889071.3,0,1412196,0,2092461.1,0,0,0,0,0,0,0
616.0730164,0,0,0,0,0,0,3722626.5,2350680.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.0734997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703693.5,2274604.5,0,0,0,0
616.2106219,0,0,0,0,0,0,0,0,0,1637244.6,0,0,0,0,0,0,0,0,0,0,0,0
616.2192799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684165.9,0,0,0,0,0,0,0
616.2217777,0,0,0,0,0,0,0,0,1594434.3,1514877.3,0,0,0,0,0,0,0,0,0,0,0,0
616.4040443,0,1648261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.4054324,0,0,0,0,0,1578628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.4060454,0,0,0,0,0,0,0,0,0,0,1886115.9,0,0,0,0,0,0,0,0,0,0,0
616.6988883,0,4274352.5,0,4099766.8,0,1594063.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.6997095,0,0,3248124.3,0,2870759.3,0,0,0,0,0,0,2530053.3,3253476,3091554.8,0,0,0,0,0,0,0,0
616.7000615,0,0,0,0,0,0,1745925.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927940.3
616.7096533,0,0,0,0,0,1624274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.7101631,0,0,0,0,0,0,0,0,0,0,2175956,0,0,0,0,0,0,0,0,0,0,0
616.7106763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742872.8,0,0,0,0,0,0,0
616.718633,0,0,0,0,0,0,0,0,0,1912218,0,0,0,0,0,0,0,0,0,0,0,0
616.7197943,0,0,0,0,0,0,0,2657453,2423977.8,0,2153429.5,0,1522408,0,0,0,2151772,0,0,0,0,0
616.7208063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461542.8,0,0,0,0
616.7271875,0,0,0,0,0,2132182.5,0,0,1875115.4,2812826.5,0,0,0,0,0,0,0,0,0,0,0,0
616.7278012,0,0,1460740.3,0,0,0,2217483.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.7283467,0,0,0,0,0,0,0,1605806.1,0,0,2451926.8,0,0,0,0,0,0,0,0,0,0,0
616.736625,0,0,0,0,0,2198233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.7373039,0,1596086.1,0,0,0,0,3102221.5,0,0,0,3490264.3,0,0,0,0,0,0,0,0,0,0,0
616.7381452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771624.4,0,0,0,0
616.7424077,0,0,0,0,0,0,0,0,0,0,1469913,0,0,0,0,0,0,0,0,0,0,0
616.742887,0,0,0,0,1425903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.7446805,0,1487799.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.7689492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486688.5,0,0
617.1543224,1489100.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.2273587,1567969.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.3811402,0,0,0,0,0,0,0,0,0,1444546.3,0,0,0,0,0,0,0,0,0,0,0,0
617.4044415,0,0,0,0,0,0,0,0,0,0,1448514.3,0,0,0,0,0,0,0,0,0,0,0
617.7039822,0,0,0,0,0,0,0,0,0,0,1743986.1,0,0,0,0,0,0,0,0,0,0,0
617.714112,0,0,0,0,0,0,1692378.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.7155893,0,0,0,0,0,0,0,0,0,1936343.3,0,0,0,0,0,0,0,0,0,0,0,0
617.7181093,0,1994056.4,0,0,0,0,0,0,0,0,0,0,0,0,2646724,0,0,0,0,0,0,0
617.7185799,0,0,0,0,0,0,0,2360625.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.7190165,0,0,0,0,0,0,0,0,0,0,0,2420245.3,0,0,0,0,2304218.5,3381701,0,0,0,2528174
617.7195233,0,0,0,0,0,0,2751195.8,0,1917054.6,0,0,0,0,2393882,0,0,0,0,1471285,0,0,0
617.7201336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609458.4,0,0,0,0,0,0
617.7261707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541829.5,0,0,0,0,0,0,0
617.7266219,0,0,0,0,0,0,0,0,0,0,2975861.8,0,0,0,0,0,0,0,0,0,0,0
617.727384,0,0,0,0,0,0,0,1767218.9,0,1627864,0,0,0,0,0,0,0,0,0,0,0,0
617.7521325,0,148375888,125106472,143681456,136410784,110458336,104698592,27901750,12879750,0,0,60814368,68227528,69001504,45008072,34561268,29630430,26395080,23253816,0,14958298,70412208
617.7525067,18289526,0,0,0,0,0,0,0,0,18781146,34065528,0,0,0,0,0,0,0,0,0,0,0
