Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
105.653859417424,0,0,0,0,0,0,0,0,,None,106.661135884304,0,0,0,0,0,0,0,0,0,931276.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.740105181704,0,0,0,0,0,0,0,0,,None,106.747381648584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126951.6,0,0,0,0,0,0,0,0
105.813230088187,0,0,0,0,0,0,0,0,,None,106.820506555067,0,0,0,0,0,0,0,0,0,0,0,0,930627.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.131778931844,0,0,0,0,0,0,0,0,,None,107.139055398724,0,0,0,0,0,0,0,0,0,0,0,933487.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.194526396249,0,0,0,0,0,0,0,0,,None,107.201802863129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979075.5,0,0,0,0,0,0,0,0,0,0,0,0
106.246216005259,0,0,0,0,0,0,0,0,,None,107.253492472139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029094.3,0,0,0,0,0,0,0,0
106.263914814802,0,0,0,0,0,0,0,0,,None,107.271191281682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943123.2,0,0,0,0,0
106.289371582092,0,0,0,0,0,0,0,0,,None,107.296648048972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987024.5,0,0,0,0,0,0
106.32757223568,0,0,0,0,0,0,0,0,,None,107.33484870256,0,0,0,0,0,0,0,0,0,0,976314.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.345987595686,0,0,0,0,0,0,0,0,,None,107.353264062566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158570.1,0
