,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
566.2327547,0,0,0,0,0,0,0,0,,None,567.2400312,0,-1,NA,NA,NA,NA,NA,NA,565.600494147614,0.399505852386483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.2332595,0,0,0,0,0,0,0,0,,None,567.240536,0,-1,NA,NA,NA,NA,NA,NA,565.600998383949,0.399001616050668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.2338796,0,0,0,0,0,0,0,0,,None,567.241156,0,-1,NA,NA,NA,NA,NA,NA,565.60161779154,0.398382208459793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7257706,0,0,0,0,0,0,0,0,,None,567.7330471,0,-1,NA,NA,NA,NA,NA,NA,566.092959541655,0.907040458344795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7261732,0,0,0,0,0,0,0,0,,None,567.7334497,0,-1,NA,NA,NA,NA,NA,NA,566.093361692108,0.906638307891626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7314822,0,0,0,0,0,0,0,0,,None,567.7387586,0,-1,NA,NA,NA,NA,NA,NA,566.098664764032,0.901335235968418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7324356,0,0,0,0,0,0,0,0,,None,567.739712,0,-1,NA,NA,NA,NA,NA,NA,566.099617099457,0.900382900543264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.732724,0,0,0,0,0,0,0,0,,None,567.7400005,0,-1,NA,NA,NA,NA,NA,NA,566.099905177427,0.900094822573351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7417872,0,0,0,0,0,0,0,0,,None,567.7490637,0,-1,NA,NA,NA,NA,NA,NA,566.108958257377,0.891041742623429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7421553,0,0,0,0,0,0,0,0,,None,567.7494318,0,-1,NA,NA,NA,NA,NA,NA,566.109325946353,0.890674053647217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7427447,0,0,0,0,0,0,0,0,,None,567.7500211,0,-1,NA,NA,NA,NA,NA,NA,566.109914688224,0.890085311776488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7493267,0,0,0,0,0,0,0,0,,None,567.7566032,0,-1,NA,NA,NA,NA,NA,NA,566.116489338703,0.883510661296555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
