OTU ID	ICR_10_pp1	ICR_10_pp2	ICR_10_pp3	ICR_4_pp1	ICR_5_pp1	ICR_6_pp1	ICR_6_pp2	ICR_6_pp3	ICR_7_pp1	ICR_7_pp2	ICR_7_pp3	ICR_8_pp1	ICR_8_pp2	ICR_8_pp3	ICR_9_pp2	ICR_9_pp3	River_at_ICR10	River_at_ICR2_1	River_at_ICR2_2	River_at_ICR3	River_at_ICR7	River_at_ICR8	River_at_ICR9	taxonomy
OTU_4490	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	0	4	"k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__?,g__?,s__?"
OTU_4491	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Archaea,p__Ca._Woesearchaeota,c__Pacearchaeota,o__?,f__?,g__?,s__?"
OTU_4492	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	"k__Bacteria,p__Elusimicrobia,c__Elusimicrobia_(class),o__Lineage_IIa,f__?,g__?,s__?"
OTU_4493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Ca._Omnitrophica_(OP3),c__?,o__?,f__?,g__?,s__?"
OTU_4494	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	"k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__?,g__?,s__?"
OTU_4495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	"k__Bacteria,p__Chloroflexi,c__?,o__?,f__?,g__?,s__?"
OTU_4496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__?,g__?,s__?"
OTU_4497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	"k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Tepidisphaerales,f__Tepidisphaeraceae,g__?,s__?"
OTU_4498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Acidobacteria,c__Solibacteres_(Acidobacteria_group_3),o__Solibacterales,f__?,g__?,s__?"
OTU_4499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__?,f__?,g__?,s__?"
