,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
Stegen_ICR_10_pp2_Nov20_1_01_24965,4.44542781608732,-1.117953363539,3.56847551158134,1.55917007560484,3.03033922931603,4.33988733281983,2.43269375446828,3.40696350060073,1.94777727142423,-0.28991523160734,2.11210503922788,0.233802087209799,-0.689878526128368,-0.654243649273603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp3_Nov20_1_01_24950,2.83909164858274,1.04050707208616,3.50183471346152,1.3606228953859,2.33649699088082,2.50959092035417,3.67512848397288,1.60391189198534,1.38337182027452,0.646062319644118,-0.840889595905481,-0.214873158151393,-0.548301218287968,-0.76467981105364,-0.465221932774032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR2p1_Nov20_1_01_24962,5.15444827330015,0.0642179361287447,-0.347185949031731,0.866764097966609,2.30294888500489,1.65682622252072,2.62424597702943,2.71247584187923,-0.960409654180755,1.72278533142026,4.9346730760207,2.63426555469034,1.80210020469054,0.424758551039624,0.942789334191814,0.375485984139634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR2p2_Nov20_1_01_24968,5.73134620156905,1.58159720015108,-0.0156287782621741,1.511731636691,2.11271538880735,3.00248634685071,3.49888356440446,3.38070952011974,1.58220062315733,2.72096677577971,3.30325538021856,6.34494539991286,3.19826194724003,0.536897779915731,1.82476561908658,0.908291168534144,4.07223939643935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR3_Nov20_1_01_24971,5.48155501671745,1.03072347613633,0.769057441880345,1.66788862790199,1.16179657218659,3.72978096026539,3.18155912033488,4.70976816588486,0.387677333759919,2.23443648316421,5.38033369267687,6.50668372302192,1.68974930251387,1.20011750874814,2.21903956541373,1.5260332606081,1.92693667819971,3.16434711873252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR6_Nov20_1_01_24958,6.29398903377455,-0.619542206750609,1.15278928016928,2.34318048150713,3.03490856778869,2.67787860296269,3.95029144564067,3.42028716387956,0.948635717581447,0.802910261229843,4.9957343676009,4.29570231058996,2.10617689512906,-0.687527751026496,0.500828133447009,-0.997140395290317,3.10204917587219,2.65595107465969,4.56342312047936,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR7_Nov20_1_01_24945,2.88010645556866,0.329157686567672,1.276919688063,0.560956729084547,2.5893413521039,4.50804088100413,1.71876563405004,3.29032720865059,1.75606374993525,1.79477363700355,3.55912905813571,3.52388102415421,0.698238828767203,0.294898673973123,0.0821766173151131,-0.28181038782167,1.37219869940963,2.79179315100822,2.199247515489,3.60973710981253,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR8_Nov20_1_01_24957,5.98990167908065,-0.0988461560363986,1.99682967243887,1.61704456300623,3.58855459070365,4.5109829518362,5.11858070326385,4.66637884113076,1.01064219528136,1.84451704339243,3.40081381559687,3.88454981437711,1.25874955110716,0.500115560765169,1.33400664024645,-0.914973289691428,2.61255392174354,2.60331124745328,4.77484658019756,2.39785203279446,2.77097128604355,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR9_Nov20_1_01_24956,4.36445127518253,-0.964752872321262,0.726351585659095,1.71101244309555,3.52911842455096,3.74139017706564,3.13647328291019,4.11132905017124,1.37135753096732,2.28334787982768,1.86241620608357,3.40203707810996,-1.52044333877961,0.333186463005356,0.80656569587993,-0.540768439554731,1.65456569657284,0.258508444986546,2.68848592592016,1.61294610749322,1.74022476048852,2.02855856049397,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR10_Nov20_1_01_24964,5.55706126407498,-0.631540472440379,2.7352924058266,2.46798882841259,0.805212789061464,1.44773382121778,2.6357543526348,1.99096962289716,1.45809890776886,0.65399092419104,0.690000880409913,1.97205207510872,-0.0559640069069445,0.0295246364354931,1.16877504298641,1.38277484028832,-0.897312768263517,-0.383515500845107,0.733248990650402,-1.96124743714181,0.169854691992712,-0.867983504127048,-0.0856377767720788,NA,NA,NA,NA,NA
Stegen_ICR_1_pp1_Nov20_1_01_24967,0.737103362261901,2.3109984610335,3.29993635704398,4.0791560045227,4.05138870884887,5.2584250568642,2.19346943946402,4.43110659100943,3.49936675763508,5.17870861526539,4.66238296755644,4.07827743870513,2.79263154581614,5.01959130385762,4.66824438168866,5.14472935118465,5.29224110781727,7.11864519364798,5.67055634368597,6.3323293289492,1.41396260633643,5.5644219623129,5.05831600629977,4.87756265946163,NA,NA,NA,NA
Stegen_ICR_2_pp1_Nov20_1_01_24953,0.800181553053999,2.5244620952191,4.1864783484701,5.38172764441707,7.29466146302933,8.09236835976606,4.41453156968657,8.21398511303004,4.91608124747617,5.57674158745104,3.65293284173449,4.19133832611572,2.20358641316914,4.55759881928934,6.92829320633021,4.65132685780876,3.31846265392736,6.23889560300073,5.28576564495008,5.04739247916834,1.34379699879774,5.13557525291006,4.49914135125177,5.38299369861468,-2.18020207119009,NA,NA,NA
Stegen_ICR_3_pp1_Nov20_1_01_24944,2.31350919334745,4.05933953017674,5.17588361582392,6.34602347188985,7.47553052287013,7.38510109316778,4.15042051914622,7.73433866357505,5.62175201420783,6.90860117277916,5.23141140792,4.37052818339052,3.16555375486721,6.37322320420424,8.05273046008235,6.85775124068336,6.14603675051098,6.93823410791513,6.1250959689901,6.98965460675829,4.90289769303957,5.18066928071967,5.75339639458015,6.97188771178384,-2.39804039218546,-2.61947918094011,NA,NA
Stegen_ICR_4_pp1_Nov20_1_01_24961,5.44961013922499,-0.369808369947813,2.33770297141369,1.00344847228824,1.31574850843233,4.57253510021911,1.87726147671156,3.55887236875574,0.520110495119021,1.61428145817602,5.2525461355008,5.96821690643115,2.3127166871069,1.67424038050236,1.53028175090671,0.738324260126128,3.30752318779392,3.53398761489678,2.14796314009721,2.9783468874454,2.03922845047592,2.24652732595265,2.05607314601588,-0.831310593330733,6.06867209357134,4.69535909622318,7.02477293065742,NA
